Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
1	746.4858	30.676495	 	1109.2972	201.08095	 	800.1747	217.20508	 	1178.4768	272.3963	 	638.27344	284.94348	 	1318.9064	383.71133	 	1198.1542	448.15826	 	973.7684	717.37726	 	742.8655	772.59827	 	646.79254	785.27216	 	839.3142	822.44574	 	172.27855	892.27344	 	669.7545	895.3555	 	43.08525	900.608	 	1266.1251	936.8204	 	529.07336	971.06213	 	822.9643	1039.998	 
2	746.2533	30.781458	 	1108.7216	200.71233	 	800.27264	217.63084	 	1177.8756	272.44553	 	637.8238	285.20743	 	1318.5322	384.4958	 	1197.4954	448.39142	 	973.20197	717.8067	 	742.122	772.46924	 	646.10706	785.54486	 	839.37067	822.56635	 	171.88501	893.0938	 	669.2271	895.7	 	42.125957	901.3593	 	1265.55	937.56305	 	528.66974	970.99347	 	822.4189	1040.2714	 
3	746.5508	30.737303	 	1109.0846	200.58887	 	800.6101	217.48206	 	1177.511	272.68546	 	638.04987	285.2093	 	1318.7096	384.6247	 	1198.0322	448.39606	 	973.1804	717.7202	 	742.5048	772.87134	 	646.1859	785.43726	 	840.25757	822.8949	 	172.00589	893.2395	 	669.3507	895.27844	 	42.71152	901.344	 	1265.4808	937.6776	 	528.52594	970.6641	 	822.5347	1039.8506	 
4	746.1524	30.723007	 	1108.8458	200.81358	 	800.7547	217.52399	 	1177.4749	272.6751	 	637.9567	285.18323	 	1318.9398	384.42258	 	1197.6737	448.6025	 	973.20056	717.65607	 	742.2966	772.7491	 	645.79315	785.74316	 	840.3891	823.2055	 	171.73566	893.6822	 	669.3177	895.3476	 	42.303127	901.58203	 	1265.6278	937.4833	 	528.0871	970.7019	 	822.3317	1039.5394	 
5	745.77795	30.782887	 	1108.4802	200.35934	 	800.58606	217.72977	 	1177.3618	272.69693	 	637.7118	285.39447	 	1318.7223	384.65048	 	1197.7794	447.9552	 	973.3412	717.9866	 	742.425	772.9253	 	646.1805	785.23157	 	840.4208	823.1506	 	171.93228	893.9661	 	668.8125	895.34937	 	42.073704	901.80835	 	1265.634	937.59686	 	528.00415	971.0346	 	821.94867	1039.1671	 
6	746.077	30.606054	 	1108.4124	200.0291	 	800.8589	217.5553	 	1177.6581	272.73016	 	638.1344	285.01743	 	1318.968	384.2974	 	1198.2637	447.88898	 	973.9095	717.3848	 	742.0326	772.96075	 	645.9173	784.85876	 	840.11633	822.5457	 	172.46193	893.6705	 	669.2615	895.3533	 	42.23871	901.24756	 	1266.1608	937.6865	 	528.385	970.80634	 	822.39746	1038.8481	 
7	745.80524	30.709717	 	1108.0485	199.9228	 	800.37335	217.65303	 	1177.1865	272.66226	 	637.6672	285.19907	 	1318.526	384.2426	 	1197.7485	447.62582	 	974.04834	717.339	 	741.8177	773.0974	 	645.1939	784.89484	 	839.25037	822.6179	 	172.97763	894.2503	 	668.7761	895.3361	 	41.329594	900.9841	 	1265.6282	937.97156	 	527.39453	970.92255	 	822.0679	1039.2402	 
8	746.2739	30.632887	 	1108.548	199.70496	 	800.26337	217.3305	 	1176.9218	272.4415	 	638.0751	285.04236	 	1318.7535	384.02368	 	1198.1989	447.39932	 	974.55597	716.91034	 	742.2642	773.13824	 	645.3572	784.9175	 	839.4226	822.5487	 	173.68967	893.6214	 	669.5522	895.3876	 	42.052376	901.24976	 	1266.2297	938.13513	 	527.5213	970.9812	 	821.96344	1038.89	 
9	746.1548	30.51594	 	1108.645	199.65234	 	799.8695	217.44925	 	1176.499	272.52634	 	638.0285	284.83383	 	1318.231	383.63904	 	1198.5345	447.13394	 	974.8865	716.5923	 	741.8327	773.2238	 	644.9091	784.65247	 	839.0783	822.2042	 	173.6619	893.2213	 	669.24426	895.2871	 	42.114044	900.60535	 	1266.0784	938.05426	 	527.1009	970.8151	 	821.15564	1038.4475	 
10	746.23254	30.53265	 	1108.407	199.93028	 	799.9569	217.4745	 	1176.452	272.6773	 	637.80914	284.99747	 	1318.4663	383.48495	 	1198.7891	447.32217	 	974.84436	716.6153	 	741.493	773.7516	 	644.9499	785.1602	 	839.0926	822.0809	 	173.71165	893.1543	 	669.14215	895.8212	 	42.095573	900.43274	 	1266.0901	938.3148	 	526.3527	970.99005	 	821.25446	1038.4099	 
11	746.64795	30.603636	 	1108.9034	199.86984	 	800.0711	217.79347	 	1176.7554	272.8928	 	638.08124	284.9115	 	1318.7684	383.39047	 	1198.7871	447.5028	 	974.90283	716.0832	 	741.35205	773.54944	 	645.8739	784.9825	 	839.21735	821.7532	 	173.96335	893.249	 	669.1588	895.76556	 	41.999706	899.8751	 	1266.3413	938.2535	 	526.27014	970.77045	 	821.43994	1038.558	 
12	746.2936	30.681025	 	1108.0266	200.26682	 	799.97833	218.02197	 	1176.5785	272.69086	 	637.77167	285.1968	 	1318.6412	383.7241	 	1198.5094	447.6303	 	974.767	716.02484	 	741.188	773.561	 	645.9639	784.9316	 	838.66754	821.80316	 	173.4625	893.96765	 	668.8437	895.7327	 	41.99911	900.16516	 	1266.1832	938.5858	 	525.9721	971.1272	 	821.6247	1038.6956	 
13	746.5514	30.70903	 	1108.3018	199.98878	 	800.2145	217.99832	 	1177.0841	272.4948	 	638.1783	285.04773	 	1319.1714	383.5548	 	1199.023	447.4228	 	974.71173	715.8839	 	741.8393	773.44653	 	646.6946	785.39014	 	839.6323	821.7219	 	173.88571	893.6944	 	669.12726	895.66473	 	42.52302	899.8595	 	1266.7102	938.24115	 	525.7858	971.07666	 	822.35815	1038.524	 
14	745.9746	30.75134	 	1108.0857	199.88867	 	799.4645	218.30875	 	1176.8451	272.53827	 	637.807	285.123	 	1319.0457	383.7819	 	1198.681	447.69324	 	974.17834	715.96967	 	741.39746	773.75616	 	645.995	786.0133	 	839.5221	822.0104	 	173.71866	893.48456	 	668.87085	896.3114	 	42.234478	899.8347	 	1265.9657	938.20435	 	525.4372	971.196	 	822.35675	1038.4365	 
15	745.7647	30.9018	 	1107.8693	200.08855	 	799.7908	218.71959	 	1176.8075	272.62534	 	637.7849	285.44492	 	1319.5863	383.9644	 	1199.1672	448.30325	 	973.8376	716.4078	 	741.75037	774.19714	 	646.0431	786.3616	 	839.1658	823.1154	 	173.90837	893.37134	 	668.92566	896.37244	 	42.29716	900.3965	 	1265.8265	938.9008	 	525.95355	971.6342	 	822.4003	1038.7257	 
16	746.08923	30.640951	 	1107.7985	199.3303	 	799.87665	218.50578	 	1176.8126	272.30142	 	638.1658	285.06567	 	1319.7999	383.67804	 	1199.6923	447.6218	 	973.92975	716.09686	 	742.07025	773.5919	 	646.34094	786.2376	 	839.0874	823.07733	 	173.93008	892.80725	 	668.99774	896.131	 	42.326935	899.72003	 	1265.7944	938.4932	 	526.19885	971.9024	 	822.7039	1038.3662	 
17	745.72736	30.784647	 	1107.1337	199.69551	 	799.0011	218.22302	 	1176.1748	272.9524	 	637.65204	285.36374	 	1319.4957	383.83554	 	1198.91	448.22632	 	973.48145	716.57623	 	741.8578	774.1364	 	645.89923	786.7668	 	838.5027	823.10254	 	173.71645	893.28534	 	668.85034	896.2554	 	42.378365	900.1357	 	1265.1453	938.75934	 	526.0174	972.1892	 	822.6749	1038.5774	 
18	746.0104	30.638819	 	1107.6947	199.33958	 	798.638	217.6752	 	1176.256	273.3004	 	638.03284	285.2365	 	1320.1433	383.59152	 	1198.7404	447.89346	 	974.2017	716.3685	 	742.8734	774.0533	 	646.2155	786.86475	 	838.9956	823.2399	 	174.2891	893.7261	 	669.4286	895.9153	 	43.095272	899.4843	 	1265.4479	938.55524	 	526.15796	971.9898	 	823.3352	1037.93	 
19	745.8571	30.557226	 	1107.5858	198.54324	 	798.8781	217.3578	 	1176.0787	273.0705	 	638.10205	285.07828	 	1320.4858	383.65994	 	1198.7435	447.5751	 	974.2749	716.4476	 	743.30426	774.0519	 	646.1606	786.48413	 	838.8927	822.66	 	174.39034	893.6054	 	669.3842	896.1235	 	42.965027	900.02875	 	1265.8961	938.1819	 	525.8928	971.964	 	823.20966	1037.494	 
20	745.62115	30.44489	 	1107.4615	199.0543	 	799.0551	217.63307	 	1175.795	273.26285	 	637.71576	285.27866	 	1319.9629	383.5437	 	1198.5854	447.85004	 	974.2639	716.72864	 	743.18567	774.1269	 	646.1395	786.2716	 	838.44556	822.4106	 	174.11145	893.8265	 	669.252	896.314	 	43.08794	900.50146	 	1265.4003	937.98663	 	525.542	972.35535	 	822.96875	1037.9858	 
