Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25
Tracks 1 to 25																																																																											
1	195.46931	61.0284	 	889.68646	213.14407	 	919.9605	227.17105	 	944.6429	263.0357	 	1396	273	 	1239.2678	291.91965	 	896.087	305.68478	 	696.60474	310.11905	 	1019.8958	314.04166	 	577.4367	347.28482	 	819.4375	350.03125	 	934.06	368.22	 	985.8077	374.125	 	854.4423	375.44232	 	655.65454	389.0182	 	895.6184	395.92105	 	479.90195	426.65686	 	1322.4706	449.7647	 	365.23404	472.9149	 	435.94775	488.90298	 	408.14706	519.99414	 	295.64102	550.12823	 	464.7421	562.44385	 	350.6771	599.21875	 	1193.7404	983.20544	
2	195.01482	61.60292	 	888.7542	213.51695	 	920.0897	228	 	943.17926	263.57547	 	1395.7122	274.31818	 	1238.5625	291.5982	 	896.4457	305.36957	 	695.77106	310.59344	 	1018.913	314.80435	 	575.8953	347.83722	 	818.2143	350.5	 	933.56525	369.67392	 	984.0741	374.56482	 	853.4259	376.2037	 	655.13965	389.2928	 	894.175	395.8	 	479.01923	427.73077	 	1321.8438	450.25	 	364.45557	473.14444	 	436.15854	490.08536	 	407.38507	520.93677	 	295.8064	551.066	 	463.21228	563.4368	 	350.42593	597.9907	*	1192.5154	984.4923	
3	194.90976	61.601658	*	888.72034	213.48305	 	920.2273	228.07143	 	943.3333	263.55554	 	1395.8	274.2	 	1238.2876	292.12833	 	895.9239	305.18478	 	695.3774	311.54718	 	1018.88	315.18	 	575.1092	347.5	 	817.5328	350.63113	 	933.56665	368.9222	 	983.807	374.4123	 	852.1667	376.08823	 	654.7832	389.08408	 	893.7436	395.58975	 	478.31552	427.75244	 	1322.2715	450.32858	 	363.5	472.53372	 	436.16666	489.65152	 	407.40125	520.7963	 	295.95886	550.74677	 	463.93842	562.7971	 	350.60156	599.21094	 	1193.1259	984.3258	
4	194.93361	61.485664	*	888.97455	212.5678	 	920.74	227.26	 	943.85297	263.16666	 	1396.9375	274.1875	 	1239.1283	291.43805	 	896.09784	304.71738	 	694.73425	311.94144	 	1020.15216	315.32608	 	574.72894	346.8012	 	818.2091	350.37274	 	933.5	368.33783	 	984.14545	373.80908	 	852.5	375.5	 	654.7315	388.89816	 	893.47296	395.0811	 	477.5099	426.4802	 	1322.6714	450.07144	 	363.35	472.2875	 	436.6953	489.5	 	407.25342	520.4041	 	295.75848	549.79663	 	464.07993	562.4442	 	351.56848	597.4315	 	1193.4329	984.5067	
5	195.09744	61.72008	 	887.431	212.94827	 	920.17535	228.53896	 	943.35187	264	 	1395.5625	275.1875	 	1237.2913	291.8826	 	894.9783	305.11957	 	694.3972	311.5841	 	1019.2959	316.07144	 	573.0465	347.74417	 	817.18256	351.3889	 	932.2708	368.5	 	982.59564	374.63913	 	850.9706	376.06863	 	652.9649	389.72806	 	892.4231	395.1282	 	476.7353	427.37256	 	1321	450.23685	 	361.77472	472.6758	 	435.71375	490.2252	 	406.39743	521.61536	 	295.00452	550.32886	 	462.91867	563.2232	 	355.31482	599.2778	*	1194.2454	984.7112	
6	194.70837	61.398956	 	887.9762	211.78572	 	920.76666	227.91333	 	944.3036	263.55356	 	1396.3387	274.7903	 	1238.3053	291.76547	 	894.96155	303.82968	 	695.5	310.10376	 	1019.2143	315.80612	 	572.9875	346.7625	 	816.9211	350.9035	 	932.0294	367.65686	 	982.42175	373.60434	 	850.71155	375.5	 	652.7411	388.98215	 	892.99316	394.70547	 	477.6188	425.93564	 	1321	450.15625	 	361.10214	471.41397	 	436.828	489.524	 	406.35184	520.67285	 	295.84763	549.8777	 	464.0197	562.2885	 	354.9	599.9	*	1193.8986	984.0942	
7	194.97989	61.6598	 	887.2	212.33333	 	920.6923	228.14102	 	943.14813	264.25925	 	1395.5322	274.5	 	1237.7544	291.9386	 	894.9457	304.77173	 	695.34546	310.3909	 	1018.2917	315.875	 	571.8095	347.0119	 	816.62964	351.8889	 	931.9231	368.3654	 	981.5252	374.20587	 	849.5926	376.22223	 	652.0909	389.04544	 	891.57043	395.17606	 	476.75742	425.84653	 	1321.25	450	 	359.6979	471.45834	 	435.51526	489.4542	 	405.5	521.1883	 	295.30087	550.5606	 	463.648	562.76715	 	352.53262	598.48914	*	1193.0646	983.54034	
8	195.0798	61.48853	 	886.7712	211.77118	 	919.9125	228.175	 	942.63464	264.80768	 	1394.9138	275.05173	 	1237.069	291.06897	 	895	304.87778	 	695.67755	309.55606	 	1018.2292	316.125	 	571.1706	346.8412	 	816.4153	351.78815	 	932.37274	368.20908	 	980.822	374.0678	 	848.77454	376.57843	 	651.0909	388.64545	 	891.2895	395.0658	 	475.2961	426.9369	 	1321	449.91177	 	358.85556	471.53333	 	434.625	489.24265	 	404.53076	520.54614	 	294.2931	550.8405	 	463.60876	562.67194	 	353.96295	597.62964	 	1193.2295	983.95905	
9	194.99673	61.46165	 	886.3226	211.2742	 	919.5267	227.20667	 	942.9528	264.93396	 	1395.7307	274.69232	 	1237.8362	291.0345	 	895.5	304.34946	 	694.9602	310.2699	 	1018.2111	316.45557	 	570.73456	346.83334	 	817.0102	352.2143	 	931.3913	367.80435	 	980.9741	373.93103	 	848.2959	376.17346	 	651.2407	387.62036	 	891.1528	394.94446	 	476.38	426.62	 	1320.5541	449.68918	 	358.08694	471.26086	 	434.76562	489.29688	 	404.7353	519.8412	 	294.28787	550.0671	 	463.76218	562.60114	 	354	595	*	1192.7368	985.0789	
10	194.66048	61.696526	 	885.9407	211.4661	 	918.93036	228.23418	 	943.06366	265.95456	 	1395.0483	275.91934	 	1236.1638	292.0345	 	895.0568	304.9091	 	694.0045	310.2027	 	1016.3125	316.5625	 	568.5641	347.52563	 	815.6695	353.07626	 	930.0294	368.67648	 	979.8077	374.5684	 	847.06604	376.95282	 	649.4151	388.38678	 	889.94305	395.4114	 	475.21155	427.35577	 	1319.6714	450.41428	 	356.43616	471.72342	 	433.5	489.4549	 	403.4753	519.5617	 	293.27448	550.53827	 	462.9429	563.06744	 	350.70483	597.8735	*	1193.2844	984.33234	
11	194.63257	61.395267	 	886.3226	210.7258	 	919.9342	227.98685	 	943.9912	265.28946	 	1395.9073	274.75925	 	1235.953	290.97864	 	895.7826	303.93478	 	695.3774	309.45282	 	1017.2	316.56	 	568.5417	346.55554	 	816	352	 	930.26086	367.8913	 	979.83044	374.18695	 	847.3823	376.2647	 	649.8774	387.38678	 	889.87683	394.63043	 	475.52173	427.76086	 	1320.0151	450.07574	 	356.59784	470.7065	 	433.8622	488.99606	 	405.2229	519.0422	 	295.57074	549.7217	 	464.21167	562.26276	 	351.98935	598.71277	*	1193.7517	984.0734	
12	194.64507	61.5881	 	885.1071	211.01785	 	919.12823	227.74359	 	943.9	266.43332	 	1395.362	275.0862	 	1234.6455	291.92728	 	894.5	304.34946	 	694.4151	309.71698	 	1017.75	317.91666	 	566.94305	346.94302	 	814.5	352.9737	 	929.9039	368.71155	 	978.20087	374.8248	 	845.9464	377.85715	 	649.0093	387.7037	 	888.6081	395.43243	 	474.58737	428.2961	 	1319.8715	449.92856	 	355.0258	471.0464	 	432.38113	488.94754	 	404.96667	519.1533	 	295.0964	550.03815	 	463.42493	562.8413	 	351.75473	598.65094	*	1192.8195	983.8889	
13	194.82455	61.515316	 	885.161	210.6017	 	919.0128	227.79488	 	944.28687	266.53278	 	1395.569	274.9138	 	1234.5518	292.06033	 	894.7889	304.9222	 	694.19727	309.7844	 	1017.9	317.9	 	565.85065	346.87662	 	813.3983	352.6356	 	929.33673	368.6837	 	978.06525	374.4739	 	844.5	377.8729	 	648.3532	387.41742	 	887.7273	395.83334	 	474.41177	427.7157	 	1319.0807	449.1129	 	354.2245	470.65308	 	431.96094	489.14062	 	404.12964	519.08026	 	294.32883	549.15314	 	463.65826	562.44244	 	352.63513	597.52704	*	1192.4719	983.50934	
14	194.81915	61.084408	 	885.1491	209.76315	 	919.0443	227.0443	 	944.45	266.05	 	1396.3889	274.98148	 	1235.0217	291.0826	 	895.2742	305.3172	 	693.9286	309.0625	 	1018.3511	317.56384	 	565.64667	346.80667	 	813.1071	351.73215	 	929.51886	368.7264	 	977.89496	374.0126	 	843.73334	377.41666	 	647.3318	387.014	 	888.0942	394.99277	 	475.17648	427.7451	 	1319.2916	448.20834	 	353.5842	469.9421	 	432.51538	488.43076	 	404.93835	518.26715	 	295.20535	548.90625	 	463.99817	562.14105	 	350.32693	597.25	*	1193.9155	984.0282	
15	195.11992	61.70722	 	884.0593	210.5339	 	917.6316	228.19737	 	943	266.91666	 	1395.1552	275.77585	 	1234.2947	291.5625	 	893.32104	305.3	 	692.9954	310.61008	 	1017.6042	317.875	 	563.59753	347.40244	 	812.5635	351.8492	 	927.25385	368.7154	 	976.9915	374.84744	 	842	378.3393	 	645.76666	387.52856	 	887.0405	395.78378	 	473.4608	428.4608	 	1318.4459	449.5	 	351.94897	470.59183	 	431.9963	489.9	 	403.88095	519.7857	 	294.01947	550.19696	 	462.77017	563.1912	 	351.3	597.83685	*	1193.3066	983.80664	
16	195.04959	61.45061	 	884.5678	210.02542	 	918	227.44737	 	945.0439	265.7807	 	1396.7963	274.94446	 	1235.3761	290.84512	 	894.42633	304.2579	 	693.5364	309.36365	 	1018.9286	316.82654	 	563.8684	346.67105	 	813.2846	350.76154	 	927.2049	368.31967	 	977.11536	374.0812	 	841.87036	377.92593	 	645.49036	386.92307	 	886.8472	394.70834	 	473.75742	428.5099	 	1319.66	447.46	 	352.0119	469.57144	 	432.8	489.02307	 	405.59723	518.9722	 	295.40393	549.2817	 	464.302	562.44293	 	353.2869	596.7951	 	1192.7794	984.7206	
17	195.08345	61.761463	 	883.9464	210.23215	 	917.5909	227.44806	 	945.1229	266.31967	 	1395.375	275.66666	 	1235.7	290.9261	 	894.77954	304.48926	 	693.59344	309.5	 	1018.12744	318.049	 	561.93024	347.63953	 	812.75757	350.9091	 	926.3281	368	 	976.4573	374.3547	 	840.4167	378.56668	 	644.8182	387.2	 	886.3933	394.9	 	472.82352	429.11765	 	1318.9	448.9	 	350.21738	469.81522	 	431.35107	489.07446	 	404.93478	520.2246	 	293.80414	549.3387	 	463.3042	563.08044	 	351.69586	597.35565	*	1194.0869	983.442	
18	194.79654	61.65405	 	883.44916	209.73729	 	917.7625	227.9	 	945	265.5	 	1396.0186	275.6111	 	1235.7957	290.06522	 	895.3542	303.45834	 	692.55457	309.5	 	1018.43616	316.9468	 	561.24725	347.7088	 	812.51514	351.31818	 	925.3871	367.8871	 	976.02136	374.53418	 	839.51587	378.70636	 	644.06366	387.34546	 	885.8699	394.76028	 	472.35715	429.0619	 	1318.8549	447.4355	 	349.6758	469.511	 	431.3227	488.50708	 	404.84668	520.34	 	293.26147	549.6055	 	463.4322	562.87286	 	350.0375	597.7875	 	1194.5337	984.18536	
19	194.77231	61.430748	 	884	209.21428	 	917.46155	227.0641	 	945.95905	264.56558	 	1396.5	275	 	1236.1	290.1087	 	896.1064	303.62766	 	692.7679	309.00894	 	1019.24	317.02	 	560.7561	347.13416	 	812.3197	350.87704	 	926.2037	367.37036	 	976.178	373.89832	 	839.3644	378.11017	 	643.9519	386.39423	 	886.3406	394.21014	 	473.22278	428.62872	 	1319.0807	447.14517	 	348.80768	468.37912	 	432.19766	487.75583	 	405.47647	520.01764	 	294.03394	549.2195	 	463.72745	562.3556	 	352.73172	597.2805	*	1192.9575	984.22546	
20	194.82272	61.609867	 	882.6111	209.75397	 	916.94446	228.03087	 	944.9464	265.25	 	1395.8	275.76666	 	1235.5609	290.42175	 	895.48956	305.1146	 	691.25	309.89285	 	1017.9286	318.11224	 	557.29333	352.67334	*	810.8077	351.43848	 	925.3955	366.90298	 	975.13794	374.31897	 	837.8594	379.39062	 	642.0234	387.014	 	885.125	395.1389	 	471.5381	428.75714	 	1319.0333	446.9	 	347.33334	469.16666	 	431.55035	488.45685	 	404.1207	519.9253	 	293.24884	549.3	 	463.16556	562.8808	 	351.22476	598.12384	*	1195.0848	984.69885	
21	194.3979	61.468117	 	883.05	208.85	 	917.3101	227.01898	 	945.1111	263.8889	 	1396.3077	274.69232	 	1236.455	289.96848	 	895.41754	304.09793	 	691.7411	308.76785	 	1018.82654	316.88776	 	558.5345	346.85632	 	811.79034	351.09677	 	925.8036	366.55356	 	975.60345	373.2069	 	837.9839	379	 	642.0825	386.0631	 	885.9776	395.05225	 	471.62744	427.66666	 	1319.875	446.5	 	346.82144	467.9762	 	433.04614	487.97693	 	404.0862	518.5	 	294.09433	548.01416	 	464.09708	562.07874	 	349.5348	597.83044	*	1194.1012	984.4405	
22	194.14957	61.63047	 	882.02545	209.4322	 	916.0185	228.01852	 	944.6429	264.9643	 	1395.9073	275.24075	 	1237.0431	291.17242	 	895.7234	304.60638	 	691.0526	308.23685	 	1018.2	317.64	 	556.8333	347.54166	 	810.9923	351.19232	 	924.6067	366.54	 	975	373.25	 	837.582	378.7459	 	640.74274	386.4806	 	885.43335	395.21667	 	470.60477	428.41428	 	1319.0186	446.75925	 	345.54706	468.91177	 	432.82846	488.07663	 	403.19135	518.8951	 	292.78137	548.33984	 	463.56766	562.3872	 	347.4697	598.48486	*	1194.087	984.7645	
23	194.80127	61.617863	 	881.45	209.55	 	916.179	227.31482	 	944.86365	265.4818	 	1394.431	275.94827	 	1236.9052	291.90518	 	895.55316	303.62766	 	691.0217	307.95218	 	1017.8542	317.5	 	555.1975	352.33334	*	809.9603	351.13492	 	924.1053	366.55264	 	974.4298	372.94736	 	837.0968	379.3387	 	639.4816	386.13303	 	884.72534	395.02112	 	469.95456	428.5182	 	1317.7	448.06668	 	345.08823	468.79413	 	433.19766	488.3062	 	404.57596	519.2848	 	292.54932	548.3879	 	463.27585	562.5448	 	349.625	596.7778	*	1192.789	984.5815	
