Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25
Tracks 1 to 25																																																																											
1	528.68317	28.595238	 	347.5864	126.54713	 	1188.6289	172.54181	 	1097.2877	159.22766	 	35.4045	203.34482	 	742.702	255.52257	 	239.96585	370.93527	 	492.33432	451.2388	 	612.0828	523.06665	 	487.222	527.5757	 	257.14798	577.2953	 	134.78676	623.6805	 	384.5262	657.01117	 	353.5639	705.1107	 	1085.409	752.50916	 	1326.9786	773.78125	 	1227.1534	796.2136	 	209.03268	815.30945	 	41.43465	831.0709	 	747.9644	857.8584	 	826.1901	924.7253	 	1310.598	1035.0652	 	81.41657	1036.3169	 	1056.382	1046.6387	 	1309.2413	1037.1034	 
2	529.55493	28.93834	 	347.27454	126.59333	 	1187.7211	173.08005	 	1096.2908	159.7809	 	34.684975	202.83897	 	742.9884	255.8315	 	240.10101	370.76328	 	491.32858	451.06693	 	612.71075	523.2401	 	487.59344	526.6329	 	257.47775	577.77356	 	134.71948	623.2282	*	384.28113	656.9207	 	353.1767	706.3872	 	1085.353	752.7272	 	1326.4008	773.47186	 	1227.0828	795.5241	 	209.24448	815.8494	 	40.347	830.6334	 	748.4398	857.7777	 	826.32904	924.83905	 	1310.5105	1035.0719	*	81.03892	1036.7535	 	1056.2886	1046.6907	 	1309.1271	1037.0254	*
3	529.1241	29.261671	 	346.96582	128.18663	 	1187.6512	173.11375	 	1096.6775	160.17813	 	34.337406	201.96053	 	744.0268	256.03552	 	240.54878	370.13416	 	491.33987	450.61026	 	612.66003	522.86847	 	487.82755	526.88983	 	257.0829	578.2908	 	134.98111	622.76746	*	384.7726	656.88666	 	354.23273	706.94745	 	1085.1423	754.3602	 	1328.1233	774.79205	 	1226.1875	796.22046	 	208.47615	816.3527	 	40.27904	830.3611	 	748.31226	858.734	 	826.066	924.3988	 	1310.5505	1035.4606	*	80.82087	1035.757	 	1055.8282	1046.7053	 	1309.3235	1037.3235	*
4	529.9242	30.87608	 	347.26608	128.11215	 	1187.3689	173.36685	 	1096.0894	161.61111	 	32.995438	202.11404	 	743.3959	255.86981	 	241.2542	369.74582	 	491.43628	450.9977	 	612.42096	523.1934	 	486.8338	525.96765	 	256.61008	578.59283	 	134.93188	622.25073	*	385.79297	656.5872	 	354.5385	706.9815	 	1085.6473	753.1898	 	1326.9581	773.9175	 	1226.2421	796.35504	 	208.67207	816.3956	 	40.51656	830.49615	 	747.6257	858.39575	 	826.314	922.91437	 	1311.5038	1035.9678	*	81.4023	1035.5977	 	1056.3142	1046.8613	 	1310.4429	1037.4572	*
5	529.4294	30.638714	 	347.33682	128.05669	 	1187.7096	173.38959	 	1096.7472	161.55028	 	32.93611	202.07315	 	743.8405	256.90063	 	241.167	368.77682	 	492.06586	451.07486	 	612.6415	523.8093	 	485.50293	526.2124	 	256.56747	579.17206	 	134.30775	621.95337	*	384.63947	657.3671	 	353.58197	707.6878	 	1086.2059	753.4106	 	1327.8265	773.2398	 	1226.2346	796.41003	 	208.39261	816.9686	 	40.337357	830.669	 	746.69867	859.3068	 	826.3781	922.7379	 	1311.9509	1035.9767	*	80.73	1036.1328	*	1054.949	1047.2755	 	1310.7972	1037.6621	*
6	529.7233	30.558313	 	348.45792	127.74053	 	1188.7177	174.00238	 	1096.5828	161.92216	 	32.512028	200.75346	 	744.6539	257.6427	 	240.38055	368.27295	 	491.90662	451.23645	 	613.2948	523.8255	 	485.78253	524.4556	 	257.49734	579.50397	 	134.13289	621.8451	*	383.52502	657.1917	 	353.89822	707.30536	 	1086.3845	753.13837	 	1327.1953	773.38043	 	1226.7292	796.4159	 	207.82451	817.46796	 	40.391415	831.1288	 	747.46484	859.3471	 	827.2145	921.8391	 	1312.7262	1036.1522	*	80.63219	1034.9669	*	1055.5024	1047.7871	 	1311.4572	1037.9	*
7	529.6907	30.969864	 	348.18472	127.08001	 	1189.21	174.17766	 	1097.3889	162.60127	 	31.455761	200.89908	 	744.4074	256.43433	 	239.38702	367.79236	 	492.5	451.52405	 	613.55493	524.5669	 	485.44135	524.5821	 	257.83334	580.50134	 	133.41983	622.41693	*	383.56992	657.28235	 	354.35043	707.60266	 	1087.17	752.7697	 	1328.3551	773.7643	 	1226.8436	795.88257	 	207.09834	817.82874	 	40.63469	830.09973	 	747.5947	859.12115	 	827.1716	920.6628	 	1311.7543	1037.3145	*	80.46281	1034.9935	*	1054.2595	1047.7279	 	1310.4734	1038.94	*
8	530.0073	30.677616	 	347.48505	126.811005	 	1189.7168	173.9758	 	1096.8004	163.52086	 	32.813435	200.89178	 	744.2871	257.29047	 	239.08342	367.43933	 	492.5315	452.23764	 	613.42993	524.47705	 	485.27484	524.47516	 	258.81332	581.38934	 	133.16286	622.03284	*	385.64417	657.50793	 	355.90088	707.1864	 	1088.0238	752.6182	 	1328.132	773.97577	 	1226.9377	795.18915	 	205.67294	818.8319	 	40.917084	829.7638	 	747.72345	858.7414	 	827.4106	920.4194	 	1312.7319	1037.174	*	80.184975	1035.2948	*	1054.2157	1047.4094	 	1311.2572	1038.8715	*
9	530.882	30.68613	 	347.24628	127.32985	 	1190.2465	173.0915	 	1096.6254	163.49173	 	33.34162	200.27164	 	743.9624	258.20035	 	239.05936	367.7495	 	492.1971	452.61417	 	614.24646	523.8479	 	485.11884	523.85944	 	259.43054	581.40564	 	132.3032	621.2245	*	386.75034	657.7912	 	356.6821	707.5073	 	1087.7748	753.8185	 	1327.3158	772.52234	 	1227.2194	794.45264	 	206.06128	818.69775	 	40.45232	828.6631	 	747.22076	858.4766	 	828.56934	919.6298	 	1313.5981	1037.2693	*	80.430786	1034.5919	*	1054.3146	1047.0626	 	1312.1902	1039.0071	*
