Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23
Tracks 1 to 23																																																																					
1	837.3873	102.55381	 	715.89294	152.46725	 	1088.1073	202.2676	 	26.747429	260.92056	 	647.0911	262.5904	 	1360.9711	304.99805	 	925.1471	317.84515	 	152.88127	367.31104	 	405.03177	379.79767	 	604.0756	385.8843	 	989.0801	433.15396	 	462.37814	497.15442	 	358.68372	536.7848	 	761.5323	580.1768	 	899.2625	701.0244	 	1233.8644	718.03436	 	638.7623	757.78107	 	79.00085	834.6709	 	1211.7703	882.8354	 	1318.0593	914.7094	 	727.4281	954.84216	 	825.878	1027.7666	 	1146.866	1057.0573	 
2	837.8511	101.902016	 	717.8919	151.06451	*	1088.221	201.81395	 	28.100115	260.85583	 	647.93585	261.07425	 	1360.9446	304.25577	 	925.4916	318.38458	 	155.86195	365.36194	 	405.39297	380.22632	 	604.047	386.18427	 	988.50507	432.7577	 	462.84555	497.29443	 	359.12662	536.92426	 	762.2791	580.28467	 	899.4906	700.431	 	1235.4585	718.79517	 	638.94604	756.7146	 	79.42578	833.66486	 	1213.5284	882.4264	 	1318.6201	913.91284	 	728.4169	954.4725	 	826.8001	1027.1223	 	1148.2115	1056.802	 
3	837.009	101.881035	 	715.7285	151.09805	*	1087.7887	200.85928	 	28.229404	260.33066	 	644.35693	262.56296	 	1359.7743	304.38165	 	924.8	318.1061	 	151.97607	367.24393	 	405.17877	379.46536	 	602.9223	385.84207	 	988.3914	433.05737	 	462.07428	496.92075	 	358.6795	536.20764	 	761.2806	579.8835	 	898.5884	700.3786	 	1234.177	718.9738	 	637.3156	756.24884	 	77.335976	834.2545	 	1212.6956	882.6304	 	1318.1265	914.02814	 	727.9761	953.9789	 	825.6464	1027.3162	 	1146.6316	1056.8541	 
4	838.2511	103.32977	 	719.5	150.98627	*	1088.5183	201.22768	 	29.508	259.69315	 	647.62823	262.68518	 	1361.8097	304.25787	 	925.51337	318.49054	 	156.0823	367.19614	 	405.25153	379.3573	 	603.7651	386.82925	 	989.5637	433.73422	 	462.2824	497.12827	 	359.2706	536.83514	 	762.5675	580.1772	 	900.07544	701.3532	 	1235.888	719.4685	 	639.3341	756.0769	 	78.4169	834.2021	 	1212.8942	882.7689	 	1319.3408	914.39087	 	728.7596	954.5901	 	827.315	1027.455	 	1147.1799	1057.2699	 
5	836.5865	102.992744	 	715.6564	149.72964	*	1087.8048	201.31128	 	27.84307	259.0756	 	644.5979	261.47067	 	1360.7363	302.74423	 	925.36664	317.49554	 	152.17747	365.039	 	404.80945	378.4463	 	602.91705	385.63586	 	989.25616	433.24103	 	461.08987	496.58624	 	358.94693	535.9744	 	761.90125	579.23914	 	899.6646	700.2312	 	1234.7297	719.6707	 	638.37976	755.7028	 	76.8607	833.7854	 	1211.6938	882.7228	 	1319.0199	914.14246	 	728.16815	954.2417	 	825.7656	1025.4016	 	1146.2952	1057.0448	 
6	837.643	103.452896	 	717.449	150.5144	*	1089.641	201.14214	 	28.128489	259.53024	 	647.3258	263.468	 	1361.8212	303.10092	 	925.9571	317.5474	 	154.93295	366.58047	 	405.2022	378.99802	 	603.2216	386.49265	 	989.9001	433.99942	 	462.30865	496.41898	 	359.59393	537.1163	 	763.0654	579.7323	 	900.52936	700.944	 	1235.9614	719.7568	 	640.1208	755.8263	 	77.75158	834.10516	 	1212.4966	883.5141	 	1319.751	914.4289	 	729.2958	955.5399	 	826.349	1026.0826	 	1146.8485	1056.9572	 
7	837.8405	102.53456	 	720.1749	148.70956	*	1089.4532	200.39758	 	27.608109	258.88412	 	648.3591	262.49405	*	1361.7688	302.64465	 	926.18054	317.13837	 	157.1923	365.60718	*	405.57852	378.29266	 	603.41223	385.7118	 	989.89557	434.2544	 	461.77103	495.0957	 	359.88116	537.14966	 	762.495	579.55316	 	900.62006	700.78674	 	1237.2156	718.74677	 	639.5362	754.90375	 	78.46909	833.6362	 	1212.7368	882.9189	 	1320.4227	914.226	 	728.73737	954.90826	 	826.4469	1025.2604	 	1147.031	1056.338	 
8	836.5714	102.49888	 	717.03876	148.93495	*	1088.1802	199.45891	 	26.15776	258.749	 	645.3343	263.09723	*	1360.6758	303.27878	 	925.52783	317.07907	 	151.18799	367.65775	 	405.22955	378.22565	 	602.17706	385.2771	 	989.1257	433.9084	 	460.36633	494.86716	 	359.50797	537.8976	 	761.4486	578.2319	 	899.2893	699.9926	 	1235.8564	719.0468	 	636.9468	755.3223	 	76.35876	833.9147	 	1211.5791	883.12286	 	1319.4459	914.1133	 	727.70325	955.18445	 	823.9313	1025.7023	 	1145.841	1056.025	 
9	838.2827	102	 	719.12177	149.81021	*	1089.4149	199.48872	 	26.724396	258.66513	 	648.0039	263.4868	 	1361.2847	303.80212	 	926.1133	317.52866	 	154.42801	367.68738	 	405.95657	378.51703	 	602.4369	385.41492	 	989.1678	434.44614	 	461.1337	494.7601	 	360.5355	538.1193	 	762.358	577.93115	 	900.19824	700.97705	 	1236.4038	719.86584	 	638.11914	755.70215	 	77.228264	834.25745	 	1212.6394	882.94855	 	1319.4441	914.43555	 	728.6185	955.9731	 	825.89575	1025.8174	 	1146.2747	1056.4406	 
